timestamp,ch1,ch2,ch3,ch4,label
0.0,0.01709,-0.016749,0.046753,-0.018434,rest
0.001005,0.03211,-0.006771,0.031831,0.025804,rest
0.00201,0.0796,0.062482,0.0481,0.071145,rest
0.003015,0.113497,0.090013,0.039776,0.087206,rest
0.00402,0.040916,0.07242,0.078427,0.09405,rest
0.005025,0.054445,0.127877,0.07957,0.06356,rest
0.00603,0.118178,0.039465,0.09864,0.033817,rest
0.007035,0.09489,0.041524,0.072394,0.086034,rest
0.00804,0.059163,0.025083,0.104358,0.023746,rest
0.009045,0.132927,0.085231,0.016424,0.074996,rest
0.01005,0.033519,0.058689,0.05398,0.033056,rest
0.011055,0.032249,-0.004752,0.01401,0.016119,rest
0.01206,0.032493,-0.016509,0.079019,0.003324,rest
0.013065,-0.024169,0.004112,-0.008784,0.062267,rest
0.01407,-0.044514,0.051851,0.051646,-0.02248,rest
0.015075,-0.002369,-0.018688,-0.032056,0.037209,rest
0.01608,-0.043284,0.02564,-0.015259,-0.019901,rest
0.017085,-0.006944,0.008336,-0.000378,0.002459,rest
0.01809,-0.03781,0.023264,-0.014703,0.003921,rest
0.019095,-0.039127,-0.00669,0.017275,0.040541,rest
0.020101,0.059168,0.008968,-0.016327,-0.029424,rest
0.021106,-0.063371,0.023026,-0.004798,0.006136,rest
0.022111,-0.012126,0.005459,0.018289,-0.021826,rest
0.023116,-0.093511,0.013578,0.002827,-0.04127,rest
0.024121,-0.057714,0.007384,-0.011746,-0.061989,rest
0.025126,-0.016395,-0.023244,-0.002598,-0.082316,rest
0.026131,-0.063075,-0.080432,-0.00899,0.000659,rest
0.027136,-0.054165,-0.028919,-0.048181,-0.065128,rest
0.028141,-0.063278,-0.014677,-0.033093,-0.022107,rest
0.029146,-0.024567,-0.045616,-0.058416,0.006349,rest
0.030151,-0.053475,-0.084348,-0.05887,-0.031835,rest
0.031156,0.020289,-0.031279,-0.07283,-0.032167,rest
0.032161,-0.014884,-0.024074,-0.027624,-8.2e-05,rest
0.033166,-0.044528,-0.004528,-0.012754,0.029591,rest
0.034171,0.053906,0.004381,-0.015781,-0.02484,rest
0.035176,-0.012142,-0.032019,0.035761,0.03803,rest
0.036181,-0.031084,0.054278,0.011737,0.033822,rest
0.037186,-0.02343,-0.014101,-0.03722,0.03311,rest
0.038191,-0.019477,-0.039544,0.044498,0.041522,rest
0.039196,0.051111,0.003113,0.046788,0.077391,rest
0.040201,0.039954,0.042001,0.073725,0.04671,rest
0.041206,0.05333,0.084924,0.056516,0.071595,rest
0.042211,0.070169,0.015841,0.061501,0.054369,rest
0.043216,0.081438,0.0383,0.077023,0.023914,rest
0.044221,0.020473,0.043045,0.073926,0.069057,rest
0.045226,0.051824,0.08085,0.100433,0.035405,rest
0.046231,0.047323,0.019429,0.084864,0.056144,rest
0.047236,0.061458,0.033499,0.070961,0.04971,rest
0.048241,0.077833,0.020755,0.052427,0.065093,rest
0.049246,-0.012926,0.006976,0.031218,-0.016457,rest
0.050251,-0.027659,0.026803,-0.033897,0.003871,rest
0.051256,-0.020924,0.010055,-0.034773,0.019135,rest
0.052261,-0.022583,-0.07658,-0.054355,-0.086547,rest
0.053266,-0.033825,-0.078758,-0.037714,-0.007193,rest
0.054271,-0.085648,-0.035019,-0.058477,-0.040017,rest
0.055276,-0.069467,-0.093081,-0.103255,-0.137816,rest
0.056281,-0.06597,-0.076386,-0.091682,-0.026006,rest
0.057286,-0.085576,-0.086426,-0.032355,-0.049235,rest
0.058291,-0.036661,-0.059274,-0.052336,-0.040468,rest
0.059296,-0.002247,-0.064096,-0.032005,-0.024903,rest
0.060302,-0.050613,0.005331,-0.002998,-0.014093,rest
0.061307,-0.014513,-0.019841,-0.096895,-0.032575,rest
0.062312,-0.086783,-0.01448,0.054095,0.006764,rest
0.063317,-0.038134,-0.000311,0.007401,-0.029146,rest
0.064322,0.020036,-0.007667,-0.010668,0.000613,rest
0.065327,0.010744,0.006284,-0.021572,-0.007928,rest
0.066332,0.037862,0.013838,-0.013522,0.037828,rest
0.067337,-0.004109,0.049653,0.034329,-0.005762,rest
0.068342,0.001593,-0.060468,0.006978,-0.035467,rest
0.069347,-0.006441,0.01416,0.050981,0.037461,rest
0.070352,0.043043,0.02641,0.002512,0.052748,rest
0.071357,0.014602,-0.074948,0.006133,0.012546,rest
0.072362,0.042557,-0.017147,-0.006039,-0.004516,rest
0.073367,0.059905,0.048316,-0.011871,0.022373,rest
0.074372,-0.035429,0.041345,0.055859,0.04516,rest
0.075377,0.069103,0.022886,0.069439,0.059223,rest
0.076382,0.05365,0.037247,0.006444,0.091895,rest
0.077387,0.031508,0.090763,0.045406,0.065749,rest
0.078392,0.051152,0.128212,0.077608,0.034012,rest
0.079397,-0.004027,0.091253,0.084203,0.028499,rest
0.080402,0.034446,0.048444,0.080135,0.053687,rest
0.081407,0.048464,-0.013613,0.010476,0.017573,rest
0.082412,0.080017,-0.023881,0.002517,0.06744,rest
0.083417,-0.02591,0.023068,0.07163,0.020353,rest
